columns,p_value
url_len,0.932637
url_num_hyphens_dom,1.21E-61
url_path_len,4.91E-09
url_domain_len,3.82E-19
url_hostname_len,1.03E-19
url_num_dots,0.031656
url_num_underscores,4.39E-13
url_query_len,0.999577
url_num_query_para,0.997772
url_ip_present,0.000002
url_entropy,0.915585
url_port,0.484254
html_num_tags(¡¯iframe¡¯),0.69284
html_num_tags(¡¯script¡¯),1.36E-24
html_num_tags(¡¯embed¡¯),3.34E-07
html_num_tags(¡¯object¡¯),4.49E-09
html_num_tags(¡¯div¡¯),4.05E-12
html_num_tags(¡¯head¡¯),0.544368
html_num_tags(¡¯body¡¯),0.515296
html_num_tags(¡¯form¡¯),2.79E-09
html_num_tags(¡¯a¡¯),3.41E-39
